time,kapasite_faktoru
6560,0
6561,0
6562,0
6563,0
6564,0.007751938
6565,0.081395348
6566,0.285271316
6567,0.519379841
6568,0.70310077
6569,0.817054258
6570,0.89591835
6571,0.512244888
6572,0.587755091
6573,0.583673458
6574,0.330612238
6575,0.079591835
6576,0.032653061
6577,0.028571428
6578,0
6579,0
6580,0
6581,0
6582,0
6583,0
6584,0
6585,0
6586,0
6587,0
6588,0.005426357
6589,0.079069767
6590,0.291472866
6591,0.530232554
6592,0.701550382
6593,0.773643405
6594,0.896899226
6595,0.766666661
6596,0.875968993
6597,0.766666661
6598,0.685271313
6599,0.479069764
6600,0.259689921
6601,0.062015503
6602,0.002325581
6603,0
6604,0
6605,0
6606,0
6607,0
6608,0
6609,0
6610,0
6611,0
6612,0.004651163
6613,0.055038759
6614,0.294573641
6615,0.502325578
6616,0.672093018
6617,0.727131778
6618,0.827906971
6619,0.822480614
6620,0.810852707
6621,0.74186046
6622,0.631007747
6623,0.465116276
6624,0.25348837
6625,0.064341085
6626,0.000775194
6627,0
6628,0
6629,0
6630,0
6631,0
6632,0
6633,0
6634,0
6635,0
6636,0.003875969
6637,0.080620154
6638,0.278294572
6639,0.504651159
6640,0.62945736
6641,0.646511623
6642,0.796899219
6643,0.841860459
6644,0.77674418
6645,0.748837204
6646,0.640310073
6647,0.477519376
6648,0.250387595
6649,0.066666666
6650,0.002325581
6651,0
6652,0
6653,0
6654,0
6655,0
6656,0
6657,0
6658,0
6659,0
6660,0.003875969
6661,0.102040814
6662,0.424489788
6663,0.512244888
6664,0.708163252
6665,0.908163248
6666,0.948979573
6667,1
6668,0.702040803
6669,0.893877534
6670,0.655102028
6671,0.446938767
6672,0.232653057
6673,0.022448979
6674,0.022448979
6675,0
6676,0
6677,0
6678,0
6679,0
6680,0
6681,0
6682,0
6683,0
6684,0.012244898
6685,0.12653061
6686,0.406122441
6687,0.512244888
6688,0.677551007
6689,0.775510189
6690,0.920408145
6691,0.926530594
6692,0.838775494
6693,0.718367333
6694,0.604081621
6695,0.293877545
6696,0.26938775
6697,0.067346937
6698,0.004081633
6699,0
6700,0
6701,0
6702,0
6703,0
6704,0
6705,0
6706,0
6707,0
6708,0.007751938
6709,0.075968992
6710,0.268992246
6711,0.515503872
6712,0.685271313
6713,0.818604645
6714,0.835658909
6715,0.82170542
6716,0.782945731
6717,0.746511622
6718,0.557364337
6719,0.391472865
6720,0.213178293
6721,0.065891472
6722,0.002325581
6723,0
6724,0
6725,0
6726,0
6727,0
6728,0
6729,0
6730,0
6731,0
6732,0.010852713
6733,0.06744186
6734,0.272868215
6735,0.488372089
6736,0.65193798
6737,0.739534878
6738,0.819379839
6739,0.779844955
6740,0.780620149
6741,0.697674413
6742,0.600775189
6743,0.421705423
6744,0.217054262
6745,0.03875969
6746,0
6747,0
6748,0
6749,0
6750,0
6751,0
6752,0
6753,0
6754,0
6755,0
6756,0.003875969
6757,0.069767441
6758,0.273643409
6759,0.502325578
6760,0.63565891
6761,0.787596893
6762,0.827906971
6763,0.667441856
6764,0.596124027
6765,0.703875964
6766,0.603100771
6767,0.469767438
6768,0.244186045
6769,0.070542635
6770,0.004651163
6771,0
6772,0
6773,0
6774,0
6775,0
6776,0
6777,0
6778,0
6779,0
6780,0.008527132
6781,0.094573643
6782,0.316279067
6783,0.451162787
6784,0.631007747
6785,0.79302325
6786,0.798449607
6787,0.780620149
6788,0.61937984
6789,0.679844956
6790,0.4496124
6791,0.319379843
6792,0.137209301
6793,0.024806201
6794,0
6795,0
6796,0
6797,0
6798,0
6799,0
6800,0
6801,0
6802,0
6803,0
6804,0.035658914
6805,0.06744186
6806,0.268992246
6807,0.507751934
6808,0.699999995
6809,0.329457362
6810,0.380620152
6811,0.791472862
6812,0.827906971
6813,0.723255809
6814,0.653488367
6815,0.486821702
6816,0.24108527
6817,0.055813953
6818,0.001550388
6819,0
6820,0
6821,0
6822,0
6823,0
6824,0
6825,0
6826,0
6827,0
6828,0.003100775
6829,0.07364341
6830,0.301550385
6831,0.511627903
6832,0.695348832
6833,0.768217049
6834,0.855038753
6835,0.779844955
6836,0.813953482
6837,0.76434108
6838,0.673469375
6839,0.461224481
6840,0.212244894
6841,0.046938775
6842,0.002040816
6843,0
6844,0
6845,0
6846,0
6847,0
6848,0
6849,0
6850,0
6851,0
6852,0.002325581
6853,0.070542635
6854,0.150387596
6855,0.297674416
